Section,Subsection,Question
Resident Directed Life & Routines,,Is a completed required Life Story Questionnaire collected for every resident prior to or at move-in?
Resident Directed Life & Routines,,Is a completed optional Life Story Questionnaire collected for every resident prior to, at move-in, or within the first week after move-in?
Resident Directed Life & Routines,,Are Life Story Questionnaire reviewed during the Daily Hi5 meetings for every resident prior to or at move-in?
Resident Directed Life & Routines,,Are Life Stories reviewed within the first two weeks of each new employee's hire?
Resident Directed Life & Routines,,"Does each department (nursing, dining, life enrichment/activities, leadership) use Life Story insights in daily routines and engagement?"
Resident Directed Life & Routines,,Does the Wellness Committee meet monthly and monitor the community's wellness culture?
Resident Directed Life & Routines,,Is Life Story information used to identify resident preferred activities when gathering and inviting residents to participate?
Resident Directed Life & Routines,,"Does the staff use Life Story cues to prompt meaningful conversations (i.e. past vocations, interests, etc.)?"
Resident Directed Life & Routines,,Are Life Stories and observation of residents' interests utilized when planning the Monthly Activity Calendar?
Resident Directed Life & Routines,,"Are residents' daily routines (wake times, bathing times, grooming preferences) honored consistently across all shifts?"
Resident Directed Life & Routines,,"Do staff offer choices daily, rather than assuming past preferences (i.e. morning beverage choice)?"
Resident Directed Life & Routines,,Do shift reports include updates on resident routines or changes noticed during care?
Resident Directed Life & Routines,,Are preferred routines documented in the ISPs/NSAs/Care Plans and communicated across departments?
Resident Directed Life & Routines,,"Does staff monitor and respond to changes in mood, hydration, consumption, socialization, sleep quality, alertness, or other wellness indicators?"
Resident Directed Life & Routines,,Are residents supported in maintaining meaningful morning and bedtime rituals and routines?
Resident Directed Life & Routines,,Are resident routines respected even during staff shortages?
Resident Directed Life & Routines,,Does the community offer a minimum of 2–3 planned activities per day (including weekends)?
Resident Directed Life & Routines,,Does the community offer at least one evening activity per week?
Resident Directed Life & Routines,,Does the community offer 1:1 activity for non-group participants at least weekly?
Resident Directed Life & Routines,,Does the community post the monthly calendar publicly by the 1st of every month?
Resident Directed Life & Routines,,Does the community monthly calendar reflect all 7 Dimensions of Wellness?
Resident Directed Life & Routines,,Does the community use local partnerships and volunteers?
Resident Directed Life & Routines,,"Do residents actively participate in physical wellness experiences such as balance classes, group exercise, or mind-body programs?"
Resident Directed Life & Routines,,"Are outdoor wellness experiences (nature outings, gardening, walking) accessible and encouraged?"
Resident Directed Life & Routines,,"Are spiritual wellness activities such as clergy visits, worship support, or singing groups routinely available?"
Resident Directed Life & Routines,,"Are emotional wellness supports available—gratitude practices, reminiscence, connection building?"
Resident Directed Life & Routines,,"Are intellectual wellness programs offered (brain health, current events, trivia, cultural programs)?"
Resident Directed Life & Routines,,"Are creative, artistic, and cultural programs offered (painting, drawing, storytelling, puzzles)?"
Resident Directed Life & Routines,,"Do residents have opportunities for vocational or purposeful activity (teaching, helping, mentoring, garden work)?"
Resident Directed Life & Routines,,"Are social wellness experiences—cards, entertainment, outings, celebrations—available and well-attended?"
Resident Directed Life & Routines,,"Do residents participate in multidimensional events (pet visits, shared meals, intergenerational activities)?"
Resident Directed Life & Routines,,Is participation in activities tracked and reviewed for trends or declines?
Resident Directed Life & Routines,,Is activity participation rates monitored and reviewed routinely and used to adjust programming or gathering techniques?
Resident Directed Life & Routines,,"Are resident food preferences and routines honored, as captured in Life Stories or Foor Preference Forms?"
Resident Directed Life & Routines,,"Does dining provide a calm, welcoming environment with warmth, respect, and social opportunity?"
Resident Directed Life & Routines,,Are culturally meaningful or comfort foods incorporated into menus when appropriate?
Resident Directed Life & Routines,,"Do staff consistently offer choice at each meal, supporting autonomy?"
Resident Directed Life & Routines,,Do residents have opportunities to sit in preferred areas or with preferred peers?
Resident Directed Life & Routines,,Are hydration routines supported throughout the day with beverages aligned to resident habits?
Resident Directed Life & Routines,,Does the community regularly schedule WOW Meals for its residents?
Resident Directed Life & Routines,,Does the community regularly coordinate Magic Moments for its residents?
Integration of 7 Dimensions of Wellness,Physical Wellness,Does the community offer a variety of physical wellness programs such as balance classes, group exercise, or strength training?
Integration of 7 Dimensions of Wellness,Physical Wellness,Are residents encouraged and supported in participating in outdoor activities such as walking or gardening?
Integration of 7 Dimensions of Wellness,Physical Wellness,"Does the community provide opportunities for mind-body physical practices such as yoga, tai chi, or meditation?"
Integration of 7 Dimensions of Wellness,Physical Wellness,Are physical wellness programs adapted to individual resident abilities and limitations?
Integration of 7 Dimensions of Wellness,Physical Wellness,"Does the environment support mobility with safe walking paths, accessible walkways, and adequate lighting?"
Integration of 7 Dimensions of Wellness,Physical Wellness,"Are physical health risk screenings (falls, cognition, diabetes, etc.) performed and used to guide individualized wellness plans?"
Integration of 7 Dimensions of Wellness,Emotional Wellness,"Are group emotional wellness activities offered, such as reminiscing, gratitude journaling, or connection-building groups?"
Integration of 7 Dimensions of Wellness,Emotional Wellness,Do residents have access to grief support or emotional support programs when needed?
Integration of 7 Dimensions of Wellness,Emotional Wellness,Are staff trained to recognize emotional distress and respond with supportive strategies?
Integration of 7 Dimensions of Wellness,Emotional Wellness,"Are private, calm environments available for residents needing emotional decompression?"
Integration of 7 Dimensions of Wellness,Emotional Wellness,Do staff use Life Story insights used to provide emotional reassurance or comfort?
Integration of 7 Dimensions of Wellness,Emotional Wellness,Do activities promote meaningful connection among residents to reduce loneliness?
Integration of 7 Dimensions of Wellness,Social Wellness,Are frequent social events offered that align with residents' interests?
Integration of 7 Dimensions of Wellness,Social Wellness,Does the community support resident-led groups or clubs to enhance social participation?
Integration of 7 Dimensions of Wellness,Social Wellness,Are new residents welcomed intentionally and paired with Resident Wellness Champions or peers?
Integration of 7 Dimensions of Wellness,Social Wellness,Are shared meals and social dining experiences encouraged to build community?
Integration of 7 Dimensions of Wellness,Social Wellness,Do staff intentionally facilitate social connection among residents who may be isolated?
Integration of 7 Dimensions of Wellness,Social Wellness,Are regular outings or intergenerational programs available to enhance social engagement?
Integration of 7 Dimensions of Wellness,Social Wellness,Are social participation trends monitored and used to adapt programs?
Integration of 7 Dimensions of Wellness,Intellectual Wellness,"Are cognitive stimulation programs offered such as brain games, trivia, storytelling, or current events discussions?"
Integration of 7 Dimensions of Wellness,Intellectual Wellness,Are activities matched to resident interests using Life Story insights?
Integration of 7 Dimensions of Wellness,Intellectual Wellness,Are small-group or 1:1 intellectual engagement opportunities offered for those unable to join large groups?
Integration of 7 Dimensions of Wellness,Intellectual Wellness,"Do residents have access to learning materials such as books, puzzles, or educational videos?"
Integration of 7 Dimensions of Wellness,Intellectual Wellness,"Are art, culture, or creativity-based programs offered regularly?"
Integration of 7 Dimensions of Wellness,Spiritual Wellness,"Are faith-based services, clergy visits, or devotionals available for residents who desire them?"
Integration of 7 Dimensions of Wellness,Spiritual Wellness,"Does the community provide meditation, reflection, or quiet spaces for spiritual support?"
Integration of 7 Dimensions of Wellness,Spiritual Wellness,Are Life Story spiritual and religious preferences honored during daily routines and holiday observances?
Integration of 7 Dimensions of Wellness,Spiritual Wellness,"Are music, rituals, or sensory tools used to support spiritual comfort (e.g., beads, candles, familiar hymns)?"
Integration of 7 Dimensions of Wellness,Spiritual Wellness,Are spiritual wellness programs accessible to residents across cognitive and physical abilities?
Integration of 7 Dimensions of Wellness,Spiritual Wellness,Are families engaged in supporting resident spiritual practices when desired?
Integration of 7 Dimensions of Wellness,Spiritual Wellness,Does the community partner with local spiritual leaders or organizations to expand offerings?
Integration of 7 Dimensions of Wellness,Vocational Wellness,Are residents given opportunities to contribute to the community through purposeful roles?
Integration of 7 Dimensions of Wellness,Vocational Wellness,Are prior vocations or talents identified through the Life Story and integrated into activities and resident conversations?
Integration of 7 Dimensions of Wellness,Vocational Wellness,Are resident helpers or volunteers encouraged to support community events or new residents?
Integration of 7 Dimensions of Wellness,Vocational Wellness,"Does the community highlight resident stories, achievements, or legacies (e.g., Resident Spotlights)?"
Integration of 7 Dimensions of Wellness,Vocational Wellness,Are vocational task stations available that reflect former occupations or hobbies?
Integration of 7 Dimensions of Wellness,Vocational Wellness,"Are residents supported in mentoring, teaching, or sharing knowledge with peers?"
Integration of 7 Dimensions of Wellness,Vocational Wellness,Are vocational interests revisited during ISP/NSA/Care Plan meetings and activity planning?
Integration of 7 Dimensions of Wellness,Environmental Wellness,"Are sensory-rich engagement areas available with puzzles, music, and crafting supplies?"
Integration of 7 Dimensions of Wellness,Environmental Wellness,Are personalized room décor used to support familiarity and comfort?
Integration of 7 Dimensions of Wellness,Environmental Wellness,"Does the community provide safe, inviting outdoor spaces for resident use?"
Integration of 7 Dimensions of Wellness,Environmental Wellness,"Are environmental cues used to support orientation and reduce anxiety (signage, lighting, layout)?"
Integration of 7 Dimensions of Wellness,Environmental Wellness,"Are sustainability or eco-friendly practices implemented where possible (recycling, clean air systems)?"
Integration of 7 Dimensions of Wellness,Environmental Wellness,"Do environmental features support autonomy—easy access to outdoors, clear pathways, uncluttered spaces?"
Integration of 7 Dimensions of Wellness,Environmental Wellness,"Are communal spaces designed to encourage socialization, creativity, or relaxation?"
Integration of 7 Dimensions of Wellness,Environmental Wellness,"Are indoor/outdoor relaxation areas designed with visual or tactile cues (i.e blankets, pillows, cushions, peaceful sounds)?"
"Accommodation of Needs, Preferences, and Choices",,Do staff ask residents about their preferences instead of assuming?
"Accommodation of Needs, Preferences, and Choices",,Are residents offered choice in what time they complete their ADLs?
"Accommodation of Needs, Preferences, and Choices",,Do staff adjust routines for residents who feel best at certain times of day?
"Accommodation of Needs, Preferences, and Choices",,"Are meal preferences documented, communicated to staff, and honored?"
"Accommodation of Needs, Preferences, and Choices",,Do residents receive meaningful choices at each meal?
"Accommodation of Needs, Preferences, and Choices",,Are preferred dining times accommodated whenever possible?
"Accommodation of Needs, Preferences, and Choices",,Are residents encouraged to sit where and with whom they prefer?
"Accommodation of Needs, Preferences, and Choices",,Is the dining environment calm and aligned with resident comfort needs and preferences?
"Accommodation of Needs, Preferences, and Choices",,Are alternative options offered when a resident declines a menu item?
"Accommodation of Needs, Preferences, and Choices",,Are programs offered at different times to meet varied routines?
"Accommodation of Needs, Preferences, and Choices",,"Do staff offer choices between large-group, small-group, and one-on-one engagement?"
"Accommodation of Needs, Preferences, and Choices",,Are residents offered options for private vs. social engagement?
"Accommodation of Needs, Preferences, and Choices",,Are grieving residents offered choices for emotional support?
"Accommodation of Needs, Preferences, and Choices",,Are residents encouraged—but not pressured—to participate in group activities?
"Accommodation of Needs, Preferences, and Choices",,Are assistive devices adjusted to accommodate individual needs?
"Accommodation of Needs, Preferences, and Choices",,Are residents offered choices about where they prefer to spend their day?
"Accommodation of Needs, Preferences, and Choices",,Are quiet spaces available for residents who prefer low stimulation?
"Accommodation of Needs, Preferences, and Choices",,Are residents encouraged to make their own decisions whenever possible?
"Accommodation of Needs, Preferences, and Choices",,"Are staff trained to offer choices in a respectful, empowering manner?"
Family & Community Engagement,,Are families regularly updated on their loved one's overall wellness?
Family & Community Engagement,,"Are families informed promptly about changes in resident routines, health, or preferences?"
Family & Community Engagement,,"Are multiple communication methods available (phone, email, family portal, meetings)?"
Family & Community Engagement,,Are family members encouraged to share updates to the resident's Life Story?
Family & Community Engagement,,Are ISP/NSA/Care Plan meetings scheduled at times convenient for families?
Family & Community Engagement,,Are families given clear expectations about how they can support wellness during visits?
Family & Community Engagement,,"Does the community provide educational materials on wellness, dementia, or aging?"
Family & Community Engagement,,Are families introduced to key team members who support their loved one at the time of move-in or during staffing changes?
Family & Community Engagement,,Are families invited to participate in wellness events or celebrations?
Family & Community Engagement,,Does the community ask families for input on improving wellness programs?
Family & Community Engagement,,Are families encouraged to participate in legacy activities and Magic Moments?
Family & Community Engagement,,Do families receive invitations to observe or join wellness programs?
Family & Community Engagement,,Are families supported during resident transitions such as move-in or changes in level of care?
Family & Community Engagement,,Does the community offer guidance on coping with cognitive or functional decline?
Family & Community Engagement,,"Are families provided resources during grief, hospitalization, or hospice involvement?"
Family & Community Engagement,,Are families notified and involved when routines need adjustment due to health changes?
Family & Community Engagement,,Are new families paired with Resident Ambassadors or Resident Wellness Champions for orientation?
Family & Community Engagement,,Is there a structured "Welcome to the Community" process for families?
Family & Community Engagement,,Do staff help families understand the resident's wellness goals and strengths from the Resident Wellness Self Assessment?
Family & Community Engagement,,Are family concerns addressed quickly and documented for follow-up?
Family & Community Engagement,,Does the community host events encouraging outside visitors to connect with residents?
Family & Community Engagement,,Are residents encouraged to volunteer or contribute to the greater community?
Family & Community Engagement,,Are outreach opportunities available for residents without strong family connections?
Family & Community Engagement,,Is an action plan created and implemented using the results of the Annual Resident & Family Satisfaction Survey to increase quality improvement?
Family & Community Engagement,,Is appropriate follow-up created and implemented for residents reporting a 6 or higher on the Loneliness Scale?
Family & Community Engagement,,Are improvements shared with families after concerns are raised?
Family & Community Engagement,,Is there a designated staff member families can contact with questions or concerns?
Family & Community Engagement,,Does the community celebrate family involvement and contributions?
Family & Community Engagement,,"Are testimonials collected from families to showcase wellness success stories, i.e. Wellness Wins?"
Family & Community Engagement,,Does the community host regular family-inclusive wellness events?
Family & Community Engagement,,Are holiday gatherings planned with family engagement in mind?
Family & Community Engagement,,"Are family education nights, open houses, or resource sessions held?"
Family & Community Engagement,,Do staff proactively invite families to events meaningful to their loved one?
Family & Community Engagement,,"Does the community encourage family participation in resident milestones (birthdays, anniversaries)?"
Family & Community Engagement,,Do staff demonstrate Americare's Hometown Hospitality by having a welcoming attitude toward visiting family members?
Leadership Support and Culture Alignment,,Does the community hold Daily Hi5 meetings that include a Flourish Wellness topic?
Leadership Support and Culture Alignment,,Does the community hold Monthly In-Service meetings that include a Flourish Wellness topic?
Leadership Support and Culture Alignment,,Does the community have an active Flourish Wellness Committee meeting monthly?
Leadership Support and Culture Alignment,,Are staff in each department able to describe its role in supporting the 7 Dimensions of Wellness?
Leadership Support and Culture Alignment,,Is the Executive Director / Administrator ensuring cross-departmental accountability for wellness practices?
Leadership Support and Culture Alignment,,"Do leaders model wellness and reinforce its importance during staff meetings, staff interviews, and new hire orientation?"
Leadership Support and Culture Alignment,,Are Resident Wellness Champions identified and supported in contributing to the community?
Leadership Support and Culture Alignment,,Are improvements revisited during Regional Leadership site visits and meetings to ensure ongoing progress?
Leadership Support and Culture Alignment,,Do community leaders consistently communicate that wellness is a priority?
Leadership Support and Culture Alignment,,"Is Flourish Wellness included in the community's new employee orientation, outside of Relias training?"
Leadership Support and Culture Alignment,,Does leadership model behaviors that demonstrate the 7 Dimensions of Wellness?
Leadership Support and Culture Alignment,,Do leaders participate in wellness programs or events?
Leadership Support and Culture Alignment,,Are wellness updates included in department head meetings?
Leadership Support and Culture Alignment,,Do leaders reinforce the use of the Flourish Wellness Manual?
Leadership Support and Culture Alignment,,Is wellness integration part of leadership performance expectations?
Leadership Support and Culture Alignment,,Do leaders celebrate wellness accomplishments with their teams?
Leadership Support and Culture Alignment,,Does each department have a clear role in supporting the 7 Dimensions of Wellness?
Leadership Support and Culture Alignment,,Do department heads ensure their teams understand these expectations?
Leadership Support and Culture Alignment,,Is wellness accountability embedded into daily workflows across departments?
Leadership Support and Culture Alignment,,Are departmental goals aligned with the community's wellness goals?
Leadership Support and Culture Alignment,,Do departments collaborate on wellness initiatives?
Leadership Support and Culture Alignment,,Do department leaders routinely identify wellness opportunities and barriers?
Leadership Support and Culture Alignment,,Do leaders ensure staff review Life Stories relevant to their work?
Leadership Support and Culture Alignment,,Do leaders ensure that all employees complete Flourish Wellness Relias training?
Leadership Support and Culture Alignment,,Do leaders coach staff on integrating wellness into resident interactions?
Leadership Support and Culture Alignment,,Are staff recognized for demonstrating wellness-aligned behaviors?
Leadership Support and Culture Alignment,,Do leaders provide coaching when wellness expectations are not met?
Leadership Support and Culture Alignment,,Are team members encouraged to share wellness ideas or innovations?
Leadership Support and Culture Alignment,,Do leaders monitor staff engagement in wellness training?
Leadership Support and Culture Alignment,,Are new hires taught how their role influences all 7 Dimensions of Wellness?
Leadership Support and Culture Alignment,,Do leaders ensure resident choice is upheld throughout all operations?
Leadership Support and Culture Alignment,,"Are personal routines, preferences, and Life Stories honored due to leadership oversight and support?"
Leadership Support and Culture Alignment,,Do leaders validate that ISPs/NSA/Care Plans reflect whole-person wellness?
Leadership Support and Culture Alignment,,Do department heads monitor how well their team incorporates resident preferences?
Leadership Support and Culture Alignment,,Are leaders involved in resolving barriers to resident participation in wellness programs?
Leadership Support and Culture Alignment,,Do leaders encourage interdisciplinary collaboration to support complex resident wellness needs?
Leadership Support and Culture Alignment,,Are leaders visible and accessible to residents and families?
Leadership Support and Culture Alignment,,"Do leaders set the tone for a positive, wellness-focused culture?"
Leadership Support and Culture Alignment,,Is Flourish Wellness embedded into hiring and onboarding processes?
Leadership Support and Culture Alignment,,Does leadership foster teamwork and collaboration across departments?
Leadership Support and Culture Alignment,,Do leaders intentionally build a culture of gratitude and respect?
Leadership Support and Culture Alignment,,Are cultural celebrations and community events supported by leadership?
Leadership Support and Culture Alignment,,"Do leaders promote psychological safety, allowing staff to speak openly?"
Leadership Support and Culture Alignment,,Have you observed specific examples of leadership modeling Americare's RISING values?
Leadership Support and Culture Alignment,,Have you observed specific examples of leadership modeling Americare's FAMILY values?
Leadership Support and Culture Alignment,,Do leaders support staff in addressing weaknesses identified in the Flourish Wellness Community Audit?
Leadership Support and Culture Alignment,,Are leaders strong ambassadors for promoting a Flourish Wellness culture within and beyond the community?
Leadership Support and Culture Alignment,,Are examples of staff modeling RISING & FAMILY values regularly recognized in the Hi5 platform?